n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:245 R:0.990066 G:0.990096 B:0.989885 All:0.990016 (20.006860)
n:246 R:0.990216 G:0.990240 B:0.990058 All:0.990171 (20.074945)
n:247 R:0.990242 G:0.990265 B:0.990079 All:0.990195 (20.085696)
n:248 R:0.990175 G:0.990192 B:0.989984 All:0.990117 (20.051101)
n:249 R:0.990175 G:0.990212 B:0.990041 All:0.990143 (20.062392)
n:250 R:0.990195 G:0.990230 B:0.990039 All:0.990155 (20.067651)
n:251 R:0.990232 G:0.990245 B:0.990034 All:0.990170 (20.074594)
n:252 R:0.990228 G:0.990245 B:0.990050 All:0.990175 (20.076550)
n:253 R:0.990213 G:0.990216 B:0.990004 All:0.990144 (20.063023)
n:254 R:0.990134 G:0.990133 B:0.989906 All:0.990058 (20.025209)
n:255 R:0.990105 G:0.990118 B:0.989923 All:0.990048 (20.021112)
n:256 R:0.990048 G:0.990066 B:0.989834 All:0.989983 (19.992532)
n:257 R:0.990020 G:0.990025 B:0.989826 All:0.989957 (19.981520)
n:258 R:0.989969 G:0.989972 B:0.989733 All:0.989891 (19.953062)
n:259 R:0.989947 G:0.989938 B:0.989706 All:0.989864 (19.941186)
n:260 R:0.990045 G:0.990027 B:0.989789 All:0.989954 (19.979904)
n:261 R:0.989971 G:0.989964 B:0.989732 All:0.989889 (19.951978)
n:262 R:0.989951 G:0.989959 B:0.989700 All:0.989870 (19.943925)
n:263 R:0.989986 G:0.989987 B:0.989721 All:0.989898 (19.955862)
n:264 R:0.989958 G:0.989952 B:0.989708 All:0.989872 (19.944934)
n:265 R:0.989916 G:0.989924 B:0.989671 All:0.989837 (19.929694)
n:266 R:0.990078 G:0.990052 B:0.989798 All:0.989976 (19.989520)
n:267 R:0.990071 G:0.990033 B:0.989719 All:0.989941 (19.974446)
n:268 R:0.990090 G:0.990048 B:0.989768 All:0.989969 (19.986425)
n:269 R:0.990098 G:0.990042 B:0.989730 All:0.989957 (19.981158)
n:270 R:0.990117 G:0.990042 B:0.989768 All:0.989976 (19.989451)
n:271 R:0.990129 G:0.990059 B:0.989769 All:0.989986 (19.993830)
n:272 R:0.990109 G:0.990056 B:0.989769 All:0.989978 (19.990432)
n:273 R:0.990158 G:0.990071 B:0.989784 All:0.990005 (20.001988)
n:274 R:0.990115 G:0.990069 B:0.989748 All:0.989977 (19.990184)
n:275 R:0.990205 G:0.990134 B:0.989786 All:0.990042 (20.018069)
n:276 R:0.990328 G:0.990234 B:0.989933 All:0.990165 (20.072143)
n:277 R:0.990237 G:0.990208 B:0.989898 All:0.990114 (20.049954)
n:278 R:0.990247 G:0.990199 B:0.989876 All:0.990108 (20.046992)
n:279 R:0.990240 G:0.990203 B:0.989858 All:0.990101 (20.043878)
n:280 R:0.990294 G:0.990262 B:0.989953 All:0.990170 (20.074333)
n:281 R:0.990139 G:0.990127 B:0.989822 All:0.990029 (20.012806)
n:282 R:0.990212 G:0.990192 B:0.989877 All:0.990094 (20.040908)
n:283 R:0.990155 G:0.990102 B:0.989813 All:0.990024 (20.010239)
n:284 R:0.990129 G:0.990100 B:0.989787 All:0.990005 (20.002275)
n:285 R:0.990123 G:0.990087 B:0.989768 All:0.989993 (19.996777)
